Price,Close,High,Low,Open,Volume,Returns,MA20,MA50
Ticker,^NSEI,^NSEI,^NSEI,^NSEI,^NSEI,,,
Date,,,,,,,,
2021-05-17,14923.150390625,14938.0,14725.349609375,14756.25,546400,,,
2021-05-18,15108.099609375,15137.25,15043.7001953125,15067.2001953125,583900,0.012393443335275034,,
2021-05-19,15030.150390625,15133.400390625,15008.849609375,15058.599609375,569100,-0.005159432408138875,,
2021-05-20,14906.0498046875,15069.7998046875,14884.900390625,15042.599609375,480300,-0.00825677606093067,,
2021-05-21,15175.2998046875,15190.0,14985.849609375,14987.7998046875,572900,0.01806313567497475,,
2021-05-24,15197.7001953125,15256.25,15145.4501953125,15211.349609375,579800,0.001476108604989923,,
2021-05-25,15208.4501953125,15293.849609375,15163.400390625,15291.75,441500,0.0007073438653115716,,
2021-05-26,15301.4501953125,15319.900390625,15194.9501953125,15257.0498046875,384000,0.006115021504864648,,
2021-05-27,15337.849609375,15384.5498046875,15272.5,15323.9501953125,0,0.002378821196545866,,
2021-05-28,15435.650390625,15469.650390625,15394.75,15421.2001953125,468100,0.006376433707514062,,
2021-05-31,15582.7998046875,15606.349609375,15374.0,15437.75,436000,0.009533088035724946,,
2021-06-01,15574.849609375,15660.75,15528.2998046875,15629.650390625,409600,-0.0005101904286871628,,
2021-06-02,15576.2001953125,15597.4501953125,15459.849609375,15520.349609375,428600,8.67158252806366e-05,,
2021-06-03,15690.349609375,15705.099609375,15611.0,15655.5498046875,410200,0.0073284506253876724,,
2021-06-04,15670.25,15733.599609375,15622.349609375,15712.5,414200,-0.001281017305247989,,
2021-06-07,15751.650390625,15773.4501953125,15678.099609375,15725.099609375,394000,0.0051945814919991395,,
2021-06-08,15740.099609375,15778.7998046875,15680.0,15773.900390625,378200,-0.0007333060957773752,,
2021-06-09,15635.349609375,15800.4501953125,15566.900390625,15766.2998046875,457900,-0.006654976944212576,,
2021-06-10,15737.75,15751.25,15648.5,15692.099609375,298300,0.0065492869160790335,,
2021-06-11,15799.349609375,15835.5498046875,15749.7998046875,15796.4501953125,363000,0.003914130633349666,15419.124951171874,
2021-06-14,15811.849609375,15823.0498046875,15606.5,15791.400390625,392900,0.0007911718082738162,15463.559912109375,
2021-06-15,15869.25,15901.599609375,15842.400390625,15866.9501953125,323300,0.003630213545097627,15501.617431640625,
2021-06-16,15767.5498046875,15880.849609375,15742.599609375,15847.5,340200,-0.006408632752808119,15538.48740234375,
2021-06-17,15691.400390625,15769.349609375,15616.75,15648.2998046875,357600,-0.0048295020472909345,15577.754931640626,
2021-06-18,15683.349609375,15761.5,15450.900390625,15756.5,640800,-0.000513069646403852,15603.157421875,
2021-06-21,15746.5,15765.150390625,15505.650390625,15525.849609375,351500,0.004026588209654625,15630.597412109375,
2021-06-22,15772.75,15895.75,15752.099609375,15840.5,322200,0.0016670371193598932,15658.81240234375,
2021-06-23,15686.9501953125,15862.9501953125,15673.9501953125,15862.7998046875,287500,-0.005439749231269109,15678.08740234375,
2021-06-24,15790.4501953125,15821.400390625,15702.7001953125,15737.2998046875,316700,0.006597840798329813,15700.717431640625,
2021-06-25,15860.349609375,15870.7998046875,15772.2998046875,15839.349609375,314600,0.0044266891189239654,15721.952392578125,
2021-06-28,15814.7001953125,15915.650390625,15792.150390625,15915.349609375,255100,-0.0028782098242977616,15733.547412109376,
2021-06-29,15748.4501953125,15835.900390625,15724.0498046875,15807.5,360300,-0.0041891404314852165,15742.22744140625,
2021-06-30,15721.5,15839.099609375,15708.75,15776.900390625,262400,-0.0017112919035373597,15749.492431640625,
2021-07-01,15680.0,15755.5498046875,15667.0498046875,15755.0498046875,224900,-0.002639697229908089,15748.974951171875,
2021-07-02,15722.2001953125,15738.349609375,15635.9501953125,15705.849609375,254800,0.002691338986766656,15751.5724609375,
2021-07-05,15834.349609375,15845.9501953125,15762.0498046875,15793.400390625,207000,0.007133188273225066,15755.707421875,
2021-07-06,15818.25,15914.2001953125,15801.0,15813.75,391400,-0.0010167521731027085,15759.61494140625,
2021-07-07,15879.650390625,15893.5498046875,15779.7001953125,15819.599609375,329300,0.0038816171589777237,15771.82998046875,
2021-07-08,15727.900390625,15885.75,15682.900390625,15855.400390625,307900,-0.0095562557277451,15771.3375,
2021-07-09,15689.7998046875,15730.849609375,15632.75,15688.25,243200,-0.0024224839292732447,15765.860009765625,
2021-07-12,15692.599609375,15789.2001953125,15644.75,15766.7998046875,216300,0.00017844744498685117,15759.897509765626,
2021-07-13,15812.349609375,15820.7998046875,15744.599609375,15794.0,246700,0.007630985495128417,15757.052490234375,
2021-07-14,15853.9501953125,15877.349609375,15764.2001953125,15808.7001953125,0,0.0026308921169333477,15761.372509765624,
2021-07-15,15924.2001953125,15952.349609375,15855.0,15872.150390625,284900,0.004431072328003882,15773.0125,
2021-07-16,15923.400390625,15962.25,15882.599609375,15958.349609375,276300,-5.0225736783704455e-05,15785.0150390625,
2021-07-19,15752.400390625,15836.900390625,15707.5,15754.5,242100,-0.010738912280361723,15785.31005859375,
2021-07-20,15632.099609375,15728.4501953125,15578.5498046875,15703.9501953125,274300,-0.0076369809214345,15778.2775390625,
2021-07-22,15824.0498046875,15834.7998046875,15726.400390625,15736.599609375,265300,0.012279233123449584,15785.13251953125,
2021-07-23,15856.0498046875,15899.7998046875,15768.400390625,15856.7998046875,294100,0.002022238326785386,15788.4125,
2021-07-26,15824.4501953125,15893.349609375,15797.0,15849.2998046875,267100,-0.0019929055322251976,15786.617529296875,15635.90498046875
2021-07-27,15746.4501953125,15881.5498046875,15701.0,15860.5,311000,-0.004929081202650898,15783.205029296874,15652.3709765625
2021-07-28,15709.400390625,15767.5,15513.4501953125,15761.5498046875,318600,-0.002352898858342667,15781.2525390625,15664.3969921875
2021-07-29,15778.4501953125,15817.349609375,15737.7998046875,15762.7001953125,401600,0.004395444954646832,15784.100048828124,15679.36298828125
2021-07-30,15763.0498046875,15862.7998046875,15744.849609375,15800.599609375,400000,-0.000976039499086867,15788.2525390625,15696.50298828125
2021-08-02,15885.150390625,15892.900390625,15834.650390625,15874.900390625,244800,0.007746000136419795,15796.400048828125,15710.7
2021-08-03,16130.75,16146.900390625,15914.349609375,15951.5498046875,341300,0.015460955882416139,15811.220068359375,15729.36099609375
2021-08-04,16258.7998046875,16290.2001953125,16176.150390625,16195.25,427300,0.007938242467802281,15833.24755859375,15750.36798828125
2021-08-05,16294.599609375,16349.4501953125,16210.2998046875,16288.9501953125,418200,0.0022018725316477195,15853.99501953125,15770.2309765625
2021-08-06,16238.2001953125,16336.75,16223.2998046875,16304.400390625,320100,-0.003461233501561467,15879.510009765625,15788.23798828125
2021-08-09,16258.25,16320.75,16179.0498046875,16281.349609375,240500,0.0012347307242392969,15907.93251953125,15804.68998046875
2021-08-10,16280.099609375,16359.25,16202.25,16274.7998046875,288000,0.0013439090538649445,15937.30751953125,15818.6359765625
2021-08-11,16282.25,16338.75,16162.5498046875,16327.2998046875,277900,0.00013208706805212245,15960.8025390625,15832.783984375
2021-08-12,16364.400390625,16375.5,16286.900390625,16303.650390625,280200,0.005045395484346349,15986.325048828125,15848.54798828125
2021-08-13,16529.099609375,16543.599609375,16376.2998046875,16385.69921875,321900,0.010064482340847336,16016.57001953125,15865.32298828125
2021-08-16,16563.05078125,16589.400390625,16480.75,16518.400390625,254000,0.002054024277023725,16048.5525390625,15883.17900390625
2021-08-17,16614.599609375,16628.55078125,16495.400390625,16545.25,297400,0.0031122785775283823,16091.6625,15900.43798828125
2021-08-18,16568.849609375,16701.849609375,16535.849609375,16691.94921875,251800,-0.00275360231817956,16138.5,15917.01298828125
2021-08-20,16450.5,16509.55078125,16376.0498046875,16382.5,350800,-0.007142898400624986,16169.822509765625,15933.31599609375
2021-08-23,16496.44921875,16592.5,16395.69921875,16592.25,275600,0.0027931806783987323,16201.84248046875,15948.48998046875
2021-08-24,16624.599609375,16647.099609375,16495.30078125,16561.400390625,275400,0.007768362083601765,16241.849951171875,15964.99498046875
2021-08-25,16634.650390625,16712.44921875,16617.5,16654.0,265900,0.0006045728309951315,16286.2599609375,15981.45099609375
2021-08-26,16636.900390625,16683.69921875,16603.400390625,16627.94921875,253500,0.00013525983096518424,16332.6349609375,15996.80400390625
2021-08-27,16705.19921875,16722.05078125,16565.599609375,16642.55078125,217400,0.004105261588480014,16378.972412109375,16015.5569921875
2021-08-30,16931.05078125,16951.5,16764.849609375,16775.849609375,283500,0.013519836521704187,16437.3724609375,16040.35
2021-08-31,17132.19921875,17153.5,16915.849609375,16947.5,464400,0.011880446175423387,16499.72490234375,16069.3269921875
2021-09-01,17076.25,17225.75,17055.05078125,17185.599609375,301900,-0.00326573477436376,16546.99990234375,16095.9219921875
2021-09-02,17234.150390625,17245.5,17059.69921875,17095.400390625,242400,0.009246783727399066,16595.767431640626,16125.15
2021-09-03,17323.599609375,17340.099609375,17212.19921875,17262.44921875,261400,0.005190230833697296,16647.217431640624,16157.88298828125
2021-09-06,17377.80078125,17429.55078125,17345.55078125,17399.349609375,228000,0.0031287476677577253,16704.1974609375,16189.63
2021-09-07,17362.099609375,17436.5,17287.0,17401.55078125,243400,-0.0009035189246697772,16759.38994140625,16219.665
2021-09-08,17353.5,17383.400390625,17254.19921875,17375.75,252700,-0.0004953092983268625,16813.0599609375,16250.44099609375
2021-09-09,17369.25,17379.650390625,17302.69921875,17312.849609375,241500,0.0009075978909154347,16867.4099609375,16282.8569921875
2021-09-13,17355.30078125,17378.349609375,17269.150390625,17363.55078125,241100,-0.000803098507419775,16916.95498046875,16315.5330078125
2021-09-14,17380.0,17438.55078125,17367.05078125,17420.349609375,230400,0.001423151293159064,16959.5,16349.5330078125
2021-09-15,17519.44921875,17532.69921875,17386.900390625,17387.650390625,388200,0.00802354538262362,17007.319921875,16385.47798828125
2021-09-16,17629.5,17644.599609375,17510.44921875,17539.19921875,503300,0.006281634763507293,17058.06494140625,16421.38099609375
2021-09-17,17585.150390625,17792.94921875,17537.650390625,17709.650390625,508300,-0.002515647600612625,17108.87998046875,16456.71900390625
2021-09-20,17396.900390625,17622.75,17361.80078125,17443.849609375,339100,-0.010705054879733056,17156.2,16487.06400390625
2021-09-21,17562.0,17578.349609375,17326.099609375,17450.5,363600,0.00949017386246398,17209.4775390625,16523.74599609375
2021-09-22,17546.650390625,17610.44921875,17524.0,17580.900390625,295200,-0.0008740239935656202,17255.580078125,16560.8830078125
2021-09-23,17822.94921875,17843.900390625,17646.55078125,17670.849609375,320500,0.015746528367181822,17314.99501953125,16603.49
2021-09-24,17853.19921875,17947.650390625,17819.400390625,17897.44921875,360100,0.0016972499684944076,17375.8099609375,16644.3069921875
2021-09-27,17855.099609375,17943.5,17802.900390625,17932.19921875,295700,0.00010644538279747096,17433.30498046875,16684.32998046875
2021-09-28,17748.599609375,17912.849609375,17576.099609375,17906.44921875,398000,-0.0059646824901542495,17474.182421875,16720.81796875
2021-09-29,17711.30078125,17781.75,17608.150390625,17657.94921875,562200,-0.0021015082285871234,17503.1375,16756.5759765625
2021-09-30,17618.150390625,17742.150390625,17585.349609375,17718.900390625,378600,-0.005259376020738893,17530.23251953125,16793.8909765625
2021-10-01,17532.05078125,17557.150390625,17452.900390625,17531.900390625,305800,-0.004886983449795879,17545.1275390625,16831.89
2021-10-04,17691.25,17750.900390625,17581.349609375,17615.55078125,295800,0.009080467581137563,17563.51005859375,16869.23400390625
2021-10-05,17822.30078125,17833.44921875,17640.900390625,17661.349609375,427000,0.007407660919946268,17585.73505859375,16908.5590234375
2021-10-06,17646.0,17884.599609375,17613.150390625,17861.5,395800,-0.009892144870289554,17599.930078125,16944.99001953125
2021-10-07,17790.349609375,17857.55078125,17763.80078125,17810.55078125,419900,0.008180302016037588,17621.77255859375,16985.8680078125
2021-10-08,17895.19921875,17941.849609375,17840.349609375,17886.849609375,324100,0.005893622760496431,17648.07001953125,17029.583984375
2021-10-11,17945.94921875,18041.94921875,17839.099609375,17867.55078125,375800,0.0028359561343596074,17677.60244140625,17072.93396484375
2021-10-12,17991.94921875,18008.650390625,17864.94921875,17915.80078125,355600,0.0025632525445875576,17708.19990234375,17117.511953125
2021-10-13,18161.75,18197.80078125,18050.75,18097.849609375,506700,0.00943759784921161,17740.31494140625,17163.0439453125
2021-10-14,18338.55078125,18350.75,18248.69921875,18272.849609375,538700,0.009734787740718787,17775.76748046875,17207.1999609375
2021-10-18,18477.05078125,18543.150390625,18445.30078125,18500.099609375,469900,0.007552396132719963,17820.3625,17251.56498046875
2021-10-19,18418.75,18604.44921875,18377.69921875,18602.349609375,368200,-0.003155307734996393,17871.45498046875,17294.04798828125
2021-10-20,18266.599609375,18458.30078125,18209.349609375,18439.900390625,371300,-0.008260625212080042,17906.6849609375,17334.6159765625
2021-10-21,18178.099609375,18384.19921875,18048.0,18382.69921875,365900,-0.004844908296702255,17938.257421875,17373.01296875
2021-10-22,18114.900390625,18314.25,18034.349609375,18230.69921875,324700,-0.003476668084567369,17952.85498046875,17409.708984375
2021-10-25,18125.400390625,18241.400390625,17968.5,18229.5,418700,0.000579633328010587,17966.4650390625,17446.5719921875
2021-10-26,18268.400390625,18310.44921875,18099.30078125,18154.5,341400,0.007889480889700096,17987.130078125,17484.6519921875
2021-10-27,18210.94921875,18342.05078125,18167.900390625,18295.849609375,335200,-0.0031448386638428527,18010.24755859375,17518.288984375
2021-10-28,17857.25,18190.69921875,17799.44921875,18187.650390625,374200,-0.0194223384240636,18017.54501953125,17544.17296875
2021-10-29,17671.650390625,17915.849609375,17613.099609375,17833.05078125,336500,-0.010393515763905459,18020.22001953125,17565.313984375
2021-11-01,17929.650390625,17954.099609375,17697.099609375,17783.150390625,281200,0.014599655057507821,18040.1,17592.53
2021-11-02,17888.94921875,18012.25,17847.599609375,17970.900390625,296400,-0.002270048271341696,18049.9849609375,17621.298984375
2021-11-03,17829.19921875,17988.75,17757.94921875,17947.94921875,331000,-0.0033400508475575075,18050.3298828125,17647.953984375
2021-11-04,17916.80078125,17947.55078125,17900.599609375,17935.05078125,48500,0.004913376165984751,18063.869921875,17673.7980078125
2021-11-08,18068.55078125,18087.80078125,17836.099609375,18040.19921875,338900,0.008469704042186388,18077.77998046875,17702.476015625
2021-11-09,18044.25,18112.599609375,17983.05078125,18084.349609375,270200,-0.001344921435271762,18085.23251953125,17730.6230078125
2021-11-10,18017.19921875,18061.25,17915.0,17973.44921875,261400,-0.0014991358050348014,18088.79501953125,17756.8630078125
2021-11-11,17873.599609375,17971.349609375,17798.19921875,17967.44921875,232100,-0.007970140510272006,18082.8775390625,17775.713984375
